"","run_ID","p","c1","c2","fertilizer subsidy (%)","land area (ha)","yield (kg/ha)","production (kg)","Nfert (kg/ha)","Nuse (kg)","cluster"
"41","e266533a-a606-4613-8fe2-8bfc3cf66ead",-50,50,-20,20,16941.71,3833.49,64945882.42,250.09,4236913.79,0
"42","5fc053aa-4f43-4877-966e-35fb352affa6",-40,50,-20,20,21864.56,3224.76,70507929.97,235.01,5138429.02,0
"43","0569781d-5dc8-4f25-b586-5137d7f77e8a",-20,50,-20,20,32546.41,2460.42,80077746.73,211.49,6883262.09,0
"44","42b974ac-ce80-4171-8572-831793f2055c",-50,50,-10,10,15506.72,4007.72,62146616.09,195.35,3029232.95,0
"45","9a546fdb-f494-4134-914c-edc293a8c18d",-50,50,0,0,14361.5,4164.61,59810076.9,162.85,2338749.09,0
"46","866456c7-437d-4b67-b121-68a6ccb0d499",-50,50,10,-10,13441.6,4304.66,57861537.6,141.68,1904342.36,0
"47","b7da6618-1048-45e4-a908-cb58e8af1009",-40,50,10,-10,17585.83,3596.97,63255706.79,140.04,2462751.32,0
"48","0d409811-556d-4a1c-93e9-b907623b6f1a",-50,50,20,-20,12684.09,4431.12,56204723.25,126.74,1607603.83,0
"49","dc298b04-2c58-4087-ada3-dd035b863209",-40,50,20,-20,16618.24,3700.11,61489323.33,125.75,2089762.12,0
"50","7f39e02c-08ae-4bb1-9906-5b83500c8c7e",-50,50,30,-30,12045.3,4546.83,54767872.2,115.57,1392078.36,0
"51","22020161-a106-43bf-ac60-428512ce909f",-40,50,30,-30,15795.73,3795.06,59945718.91,114.92,1815300.33,0
"52","4dcb6866-60f6-4520-826b-f47498f37aa2",-50,50,40,-40,11495.91,4653.91,53500889.87,106.84,1228242.12,0
"53","401c60ae-46be-44b7-b1df-23fefc0d50f6",-40,50,40,-40,15084.68,3883.27,58577890.68,106.4,1604940.61,0
"54","b6f91912-76cf-4700-b7df-3ca36f5ecb79",-50,50,50,-50,11015.85,4753.92,52368471.23,99.79,1099313.08,0
"55","d1cd9faa-5eb3-42cc-a5e8-16c2df5ab02f",-40,50,50,-50,14461.17,3965.88,57351255.34,99.47,1438490.72,0
"56","3d73eace-2aa7-4f0e-8e26-7c3620936095",-50,40,-20,20,25586.66,4163.48,106529467.36,104.07,2662707.78,0
"57","98cdb3f2-96d9-466f-a5a4-00495ad79321",-50,40,-10,10,24420.75,4271.82,104321087.68,100.12,2444994.98,0
"58","7d47e4b9-d15e-41e1-b9a1-ee55d0f9f453",-50,40,10,-10,22423.14,4477.39,100397173.11,93.39,2094204.92,0
