,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha),cc1,cc2,flag_cc1,flag_cc2
19750,dc298b04-2c58-4087-ada3-dd035b863209,cassava,0,0,0,0,88302.81,1497.2,132206634.74,2842664.34,32.19,0.05,-25176.91,valid,valid
19751,dc298b04-2c58-4087-ada3-dd035b863209,groundnuts,0,0,0,0,297446.7,561.55,167029746.33,9593596.6,32.25,0.05,-22643.29,valid,valid
19752,dc298b04-2c58-4087-ada3-dd035b863209,maize,-40,50,20,-20,16618.24,3700.11,61489323.33,2089762.12,125.75,0.37,-25089.91,valid,valid
19753,dc298b04-2c58-4087-ada3-dd035b863209,sesame,0,0,0,0,647211.64,320.05,207140813.23,21206858.92,32.77,0.05,-11183.79,valid,valid
19754,dc298b04-2c58-4087-ada3-dd035b863209,sorghum,0,0,0,0,474374.61,1531.62,726562298.56,38621666.02,81.42,0.12,-20837.41,valid,valid
