,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha),cc1,cc2,flag_cc1,flag_cc2
24500,140eb9f6-9f36-4cab-a638-711d28e30e7d,cassava,0,0,0,0,138596.54,971.31,134620008.92,2918450.72,21.06,0.05,-25176.91,valid,valid
24501,140eb9f6-9f36-4cab-a638-711d28e30e7d,groundnuts,0,0,0,0,384899.76,440.03,169368422.57,9766963.28,25.38,0.05,-22643.29,valid,valid
24502,140eb9f6-9f36-4cab-a638-711d28e30e7d,maize,0,0,0,0,107352.86,1038.93,111532391.52,10019019.89,93.33,0.37,-25089.91,valid,valid
24503,140eb9f6-9f36-4cab-a638-711d28e30e7d,sesame,0,20,0,-50,391656.8,465.87,182463008.76,15317427.14,39.11,0.05,-11183.79,valid,valid
24504,140eb9f6-9f36-4cab-a638-711d28e30e7d,sorghum,0,0,0,0,501448.04,1447.42,725808075.85,36332686.98,72.46,0.12,-20837.41,valid,valid
