,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha),cc1,cc2,flag_cc1,flag_cc2
0,a7f6e5a6-6431-327c-5234-231255564r7fs,cassava,-50,-50,-50,50,1199478,119.56,143408217.17,3424215.49,2.85,0.05,-25176.91,valid,valid
1,a7f6e5a6-6431-327c-5234-231255564r7fs,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6,110.67,0.05,-22643.29,valid,valid
2,a7f6e5a6-6431-327c-5234-231255564r7fs,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95,827.65,0.37,-25089.91,valid,valid
3,a7f6e5a6-6431-327c-5234-231255564r7fs,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15,108.68,0.05,-11183.79,valid,valid
4,a7f6e5a6-6431-327c-5234-231255564r7fs,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81,202.41,0.12,-20837.41,valid,valid
